"Olivia Wise, I can hear you singing with the angels now. Your spirit &amp; strength has inspired me &amp; so many others... May you rest in peace.",Twitter for iPhone,Twitter for iPhone,2013-11-26 06:01:24,Katy Perry
🎶You love who you love...🎶,Twitter for iPhone,Twitter for iPhone,2013-11-26 03:42:43,Katy Perry
Ho Ho Ho! The holidays are upon us! Watch this #KillerQueen ask Santa what she wants for Christmas! http://t.co/MlzcfFsCF5 What do YOU want?,Twitter for iPhone,Twitter for iPhone,2013-11-25 18:44:13,Katy Perry
A 🌸clue🌸 to the theme of my AMA performance this evening! I will be OPENING the show &amp; taking you on a trip!!! http://t.co/axoV5COKZV,Twitter for iPhone,Twitter for iPhone,2013-11-24 21:37:22,Katy Perry
Still licking my lips from the incredible VEGAN dinner I had last night @ Crossroads in LA &amp; I'm not even vegan. It was SO taste #foodtweet,Twitter for iPhone,Twitter for iPhone,2013-11-24 18:45:21,Katy Perry
You know you've been working hard when your teddy bear even smells like tiger balm.,Twitter for iPhone,Twitter for iPhone,2013-11-23 21:53:30,Katy Perry
I just might have had a full work out to Christmas music today... #sorrynotsorry #caredontcare 🎄💪🎄💪,Twitter for iPhone,Twitter for iPhone,2013-11-23 01:33:01,Katy Perry
NY! #25FOR1 Auction tonight at @No8NY with all proceeds going to http://t.co/oA2YPy60Zb! Join us for #ReliefPH http://t.co/QK2kExxm2e,Twitter for iPhone,Twitter for iPhone,2013-11-22 20:15:07,Katy Perry
JUST ADDED: a FOURTH London show at the O2 on May 31! http://t.co/N33j0x2oXA,web,web,2013-11-22 10:25:28,Katy Perry
BELFAST is also SOLD OUT! Second show added on May 8! http://t.co/N33j0x2oXA,web,web,2013-11-22 09:38:05,Katy Perry
GLASGOW is SOLD OUT! Second show added on May 18! http://t.co/N33j0x2oXA,web,web,2013-11-22 09:35:34,Katy Perry
Who wants to go to #THEPRISMATICWORLDTOUR &amp; let the light in? It'll be my biggest show yet! UK TICKETS ON SALE NOW! http://t.co/N33j0x2oXA,web,web,2013-11-22 09:00:17,Katy Perry
TOP O' THE MORNING! COUNTDOWN to #THEPRISMATICWORLDTOUR UK on-sale! 30 mins till you can get the BEST seats kittens! http://t.co/N33j0x2oXA,web,web,2013-11-22 08:32:33,Katy Perry
And now a GLOBAL link for ALL! http://t.co/68LkknezIR. I'm so glad you are loving it #UNCONDITIONALLY !,Twitter for iPhone,Twitter for iPhone,2013-11-20 14:30:14,Katy Perry
Get tickets first HERE! http://t.co/EO2zDnwKvs #THEPRISMATICWORLDTOUR,web,web,2013-11-20 09:01:36,Katy Perry
"Yes, unconditional love sometimes feels like being hit by a car... Or being on fire... How does it feel to you?",web,web,2013-11-20 01:18:41,Katy Perry
"#UNCONDITIONALLY the VIDEO directed by Brent Bonacorso w/gowns by Chanel, Dolce &amp; Gabbana and Wes Gordon: http://t.co/68LkknezIR",web,web,2013-11-20 01:18:25,Katy Perry
UK! Who's ready for #THEPRISMATICWORLDTOUR? The O2 Priority pre-sale starts first thing tomorrow morning @ 9:00a GMT: http://t.co/EO2zDnwKvs,web,web,2013-11-19 22:16:50,Katy Perry
#UnconditionallyMusicVideoTomorrow (I see you!!!) I am so excited too! It's a gorgeous one!,Twitter for iPhone,Twitter for iPhone,2013-11-19 01:19:49,Katy Perry
Japan! I will be back in MARCH! Why? 1. Cause you're my FAVORITE &amp; 2. To headline U-EXPRESS LIVE 2014!!! YAYAY!,web,web,2013-11-18 22:01:22,Katy Perry
@levi_leet don't worry great men listen to my records!,Twitter for iPhone,Twitter for iPhone,2013-11-18 15:09:10,Katy Perry
DON'T WORRY - more GLOBAL tour dates coming soon! I can't wait to get closer to ALL of you than ever before! #THEPRISMATICWORLDTOUR,web,web,2013-11-18 09:02:28,Katy Perry
"I'm bringing my friends @iconapop to Belfast, Newcastle, Nottingham, Birmingham, Glasgow, Manchester, Liverpool, Sheffield and LONDON!",web,web,2013-11-18 09:01:40,Katy Perry
"#THEPRISMATICWORLDTOUR is coming May 2014! First stop: UK! Tix on sale FRIDAY, 11/22 at http://t.co/EFjqxzX504",web,web,2013-11-18 09:01:15,Katy Perry
ECSTATIC to announce: http://t.co/F75dul8G9a,web,web,2013-11-18 09:00:26,Katy Perry
"Best purchase of the day, my little cousin Kai's first pair of Dr. Martens! http://t.co/RZF07MoZJR",Twitpic,Twitpic,2013-11-18 01:25:57,Katy Perry
TOMORROW (Monday) I will reveal all! Clue: I love these people and their  accents.,Twitter for iPhone,Twitter for iPhone,2013-11-17 09:06:29,Katy Perry
GUESS WHERE I'LL BE KICKING IT OFF?,Twitter for iPhone,Twitter for iPhone,2013-11-17 08:59:25,Katy Perry
I'M GOING ON A WORLD WIDE TOUR!!!Playing ALL your favorite songs AND all the brand new ones!,Twitter for iPhone,Twitter for iPhone,2013-11-17 08:58:34,Katy Perry
GUESS WHAT?,Twitter for iPhone,Twitter for iPhone,2013-11-17 08:54:52,Katy Perry
Best thing I've heard all day: Free yourself from yourself.,Twitter for iPhone,Twitter for iPhone,2013-11-16 18:52:12,Katy Perry
#UNCONDITIONALLY premiering on @MTV on November 19th @ 7:53pm ET      (tv &amp; online) http://t.co/FHL6HGu8zi,Twitter for iPhone,Twitter for iPhone,2013-11-14 19:30:51,Katy Perry
Who's ready for a sneak peak of the #UNCONDITIONALLY video?!,Twitter for iPhone,Twitter for iPhone,2013-11-14 19:27:31,Katy Perry
RT @COVERGIRL: Katycats: @katyperry is at her @COVERGIRL shoot &amp; taking over the CG Instagram! Come follow along now: http://t.co/6FpPLzL3S…,Twitter Web Client,Twitter Web Client,2013-11-13 23:45:37,Katy Perry
Emojis are really just ancient hieroglyphics.,Twitter for iPhone,Twitter for iPhone,2013-11-13 10:39:16,Katy Perry
". @UNICEF is rushing supplies to meet children’s needs for safe water, food, medicine &amp; shelter. HELP HERE: http://t.co/4ugb0bhnV4 #Haiyan",web,web,2013-11-12 20:06:52,Katy Perry
Meow out to all the kittens and all the voting they did with their precious paws to win me Best Female last night @MTVEMA 😻😽😻😽 ILY ILY!,Twitter for iPhone,Twitter for iPhone,2013-11-11 14:19:05,Katy Perry
"THE SHOW IS ABOUT TO START!!! TURN ON THE TEEVEE, GET THE POPCORN OUT, HOLD ON TO YOUR WEAVES KIDS! #MTVEMA",Twitter for iPhone,Twitter for iPhone,2013-11-10 19:58:45,Katy Perry
Thank God mercury is finally out of Gatorade!,Twitter for iPhone,Twitter for iPhone,2013-11-10 16:24:27,Katy Perry
@MileyCyrus #afterparty,Twitter for iPhone,Twitter for iPhone,2013-11-10 12:07:21,Katy Perry
For tonight's performance of UNCONDITIONALLY on @mtvema I will be letting the LIGHT in &amp; then making you SHINE! #dontneedtobehighforthis,Twitter for iPhone,Twitter for iPhone,2013-11-10 11:46:53,Katy Perry
KITTENS! It's the LAST day to vote for the EMAs! http://t.co/ZJ3ErQLL4F Show em how we ROAR! 🐯 #MTVEMA,Twitter for iPhone,Twitter for iPhone,2013-11-08 10:01:54,Katy Perry
"I'm sups excited for tonight's episode of #GLEE, who's with me?!",Twitter for iPhone,Twitter for iPhone,2013-11-07 21:46:52,Katy Perry
"🇬🇧London🇬🇧 I'm coming back for you DECEMBER 7th to play a show &amp; see one of my favorite new groups @disclosure 
http://t.co/cljNBncKmV COME!",Twitter for iPhone,Twitter for iPhone,2013-11-07 15:05:48,Katy Perry
Sometimes I can get a little crabby. http://t.co/lJ6CKfAE96,Twitpic,Twitpic,2013-11-06 14:49:08,Katy Perry
"@skyferreira bought your record in Tokyo, been listening to it all week... Good work friend. I love the Hole/Pixies/90's vibes. More please!",Twitter for iPhone,Twitter for iPhone,2013-11-05 08:08:57,Katy Perry
One of these things is not like the others.. http://t.co/6paVqvzLSX,Twitpic,Twitpic,2013-11-05 04:04:22,Katy Perry
