"text";"id";"retweeted";"created_at";"source";"hashtags"
"#tweepy #love #howtomaketweepy #test #justtest #idont @yuankunluo  @jtimberlake  i love tweepy";"398195872082567168";"False";"2013-11-06 21:11:08";"web";"tweepy love howtomaketweepy test justtest idont"
"@red212 timemachine to roll back. I am disappoint";"393092379609427968";"False";"2013-10-23 19:11:41";"Twitter for iPad";""
"@iUnspoken but there is no books icon in itunes now, that ist not what i expect.";"393091904721936384";"False";"2013-10-23 19:09:48";"Twitter for iPad";""
"@iUnspoken fuu..  I am now using timemachine to recovery to 10.8";"393091612219547648";"False";"2013-10-23 19:08:38";"Twitter for iPad";""
"@KeithRParsons i have upgradet too, but now there is no books icon in my itunes, and no books in my ibooks. i dont know why";"393085001090093056";"False";"2013-10-23 18:42:22";"web";""
"BBC - World Service http://t.co/TL9ZVsVLoF";"306847087725772800";"False";"2013-02-27 19:23:41";"Tweet Button";""
"PlayStation 20.02.2013 http://t.co/4Msea7rE #playstation";"299145345529692160";"False";"2013-02-06 13:19:42";"Tweet Button";"playstation"
"Christmas Giveaway https://t.co/bz7AlFTu";"288384992323727360";"False";"2013-01-07 20:41:54";"Tweet Button";""
"#irhhu #32 Dokumentaionssprach:Klassifikation,Schlagwortmethode ,Thesaurus,Ontologien (Konzepte)";"270639948590358528";"False";"2012-11-19 21:29:26";"web";"irhhu"
"#irhhu #31 Videoretrievel : eine technische mit Bezug auf die Einstellung (shot) und eine semantische mit Blick auf eine Szene (scene).";"270639653537869825";"False";"2012-11-19 21:28:16";"web";"irhhu"
"#irhhu #30 Man unterscheidet Textstellen nach Diskurs-Stellen , semantischen Stellen und Textfenstern .";"270639195402424320";"False";"2012-11-19 21:26:27";"web";"irhhu"
"#irhhu #29 Nutzung der paradigmatischen Relationen: beispielsweise der Synonymie, der Hierarchie oder der Assoziationsrelation.";"270639008093192194";"False";"2012-11-19 21:25:42";"web";"irhhu"
"#irhhu #28 Durch Anwendung von Pseudo-Relevance-Feedback erhält man eine Suchanfrage in der Zielsprache.";"270638817881497600";"False";"2012-11-19 21:24:57";"web";"irhhu"
