"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"Based on the true story of Jordan Belfort, from his rise to a wealthy stockbroker living the high life to his fall involving crime, corruption and the federal government.","R","True","English","The Wolf of Wall Street","USA","Terence Winter (screenplay), Jordan Belfort (book)","75","8.7","Martin Scorsese","25 Dec 2013","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","2013","Biography, Comedy, Crime","Nominated for 2 Golden Globes. Another 16 wins & 44 nominations.","180 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg","45,846","tt0993846"
"A con man, Irving Rosenfeld, along with his seductive British partner, Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso. DiMaso pushes them into a world of Jersey powerbrokers and mafia.","R","True","English, Arabic","American Hustle","USA","Eric Singer, David O. Russell","90","7.9","David O. Russell","20 Dec 2013","Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner","2013","Crime, Drama","Nominated for 7 Golden Globes. Another 23 wins & 61 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BNjkxMTc0MDc4N15BMl5BanBnXkFtZTgwODUyNTI1MDE@._V1_SX300.jpg","37,732","tt1800241"
"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.","PG-13","True","English","The Hobbit: The Desolation of Smaug","USA, New Zealand","Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","66","8.2","Peter Jackson","13 Dec 2013","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","2013","Adventure, Fantasy","2 wins & 8 nominations.","161 min","movie","http://ia.media-imdb.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg","144,677","tt1170358"
"Fearless optimist Anna teams up with Kristoff in an epic journey, encountering Everest-like conditions, and a hilarious snowman named Olaf in a race to find Anna's sister Elsa, whose icy powers have trapped the kingdom in eternal winter.","PG","True","English","Frozen","USA","Jennifer Lee (screenplay), Chris Buck (story), Shane Morris (story), Hans Christian Andersen (inspired by ""The Snow Queen"" by)","74","8.1","Chris Buck, Jennifer Lee","27 Nov 2013","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","2013","Animation, Adventure, Comedy","Nominated for 2 Golden Globes. Another 16 wins & 27 nominations.","102 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg","31,510","tt2294629"
"Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.","PG-13","True","English","The Hunger Games: Catching Fire","USA","Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)","75","8.1","Francis Lawrence","22 Nov 2013","Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair","2013","Action, Adventure, Sci-Fi","Nominated for 1 Golden Globe. Another 3 wins & 10 nominations.","146 min","movie","http://ia.media-imdb.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg","145,872","tt1951264"
"A day-dreamer escapes his anonymous life by disappearing into a world of fantasies filled with heroism, romance and action. When his job along with that of his co-worker are threatened, he takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.","PG","True","N/A","The Secret Life of Walter Mitty","N/A","Steve Conrad (screenplay), James Thurber (based on the short story by)","44","7.2","Ben Stiller","25 Dec 2013","Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn","2013","Adventure, Comedy, Drama","N/A","114 min","movie","http://ia.media-imdb.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@._V1_SY264_CR0,0,178,264_.jpg","2,488","tt0359950"
"Based on the failed June 28, 2005 mission ""Operation Red Wings"". Four members of SEAL Team 10 were tasked with the mission to capture or kill notorious Taliban leader Ahmad Shahd.","R","True","English","Lone Survivor","USA","Peter Berg, Marcus Luttrell (book), Patrick Robinson (book)","50","7.6","Peter Berg","10 Jan 2014","Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster","2013","Action, Biography, Drama","2 wins & 5 nominations.","N/A","movie","http://ia.media-imdb.com/images/M/MV5BMjA0NTgwOTk5Ml5BMl5BanBnXkFtZTcwMjE3NDc5OQ@@._V1_SX300.jpg","1,235","tt1091191"
"A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.","PG-13","True","English, Japanese","47 Ronin","USA","Chris Morgan (screenplay), Hossein Amini (screenplay), Walter Hamada (screen story by)","24","6.7","Carl Rinsch","25 Dec 2013","Keanu Reeves, Hiroyuki Sanada, Kô Shibasaki, Tadanobu Asano","2013","Action, Adventure, Fantasy","N/A","119 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg","7,850","tt1335975"
"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.","PG-13","True","English","Anchorman 2: The Legend Continues","USA","Will Ferrell, Adam McKay","61","7.1","Adam McKay","18 Dec 2013","Will Ferrell, Steve Carell, Paul Rudd, David Koechner","2013","Comedy","1 win.","119 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE5ODk0NjQzNV5BMl5BanBnXkFtZTgwODk4MDA1MDE@._V1_SX300.jpg","25,560","tt1229340"
"A re-creation of the merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.","R","True","N/A","Rush","N/A","Peter Morgan (screenplay)","75","8.3","Ron Howard","27 Sep 2013","Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara","2013","Action, Biography, Drama","N/A","123 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQyMDE0MTY0OV5BMl5BanBnXkFtZTcwMjI2OTI0OQ@@._V1_SX178_.jpg","50,264","tt1979320"
"Author P. L. Travers reflects on her difficult childhood while meeting with filmmaker Walt Disney during production for the adaptation of her novel, Mary Poppins.","PG-13","True","N/A","Saving Mr. Banks","N/A","Kelly Marcel, Sue Smith","N/A","7.7","John Lee Hancock","20 Dec 2013","Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell","2013","Biography, Comedy, Drama, Family, History, Music","N/A","2 h 5 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc0MTQ3NzE4Nl5BMl5BanBnXkFtZTcwMzA4NDM5OQ@@._V1_SX300.jpg","2,255","tt2140373"
"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.","R","True","English","Don Jon","USA","Joseph Gordon-Levitt","66","6.9","Joseph Gordon-Levitt","27 Sep 2013","Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza","2013","Comedy, Drama, Romance","1 win & 4 nominations.","90 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28,28.649993896484375,1271,1991.0000305175781_SX89_.jpg_V1_SX300.jpg","48,652","tt2229499"
"A lonely writer develops an unlikely relationship with his newly purchased operating system that's designed to meet his every need.","R","True","English","Her","USA","Spike Jonze","91","8.6","Spike Jonze","10 Jan 2014","Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez","2013","Comedy, Drama, Romance","Nominated for 3 Golden Globes. Another 37 wins & 47 nominations.","126 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg","5,669","tt1798709"
"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","R","True","English","12 Years a Slave","USA, UK","John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","97","8.6","Steve McQueen","08 Nov 2013","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","2013","Biography, Drama, History","Nominated for 7 Golden Globes. Another 96 wins & 124 nominations.","134 min","movie","http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg","32,250","tt2024544"
