"tt0407887","The Departed","8.5","151 mins.","Martin Scorsese","Leonardo DiCaprio;Matt Damon;Jack Nicholson","Crime;Drama;Thriller","An undercover state cop who has infiltrated an Irish gang and a mole in the police force working for the same mob race to track down and identify each other before being exposed to the enemy, after both sides realize their outfit has a rat."
"tt0482571","The Prestige","8.5","130 mins.","Christopher Nolan","Christian Bale;Hugh Jackman;Scarlett Johansson","Drama;Mystery;Thriller","The rivalry between two magicians becomes more exacerbated by their attempt to perform the ultimate illusion."
"tt0416449","300","7.8","117 mins.","Zack Snyder","Gerard Butler;Lena Headey;David Wenham","Action;Fantasy;History;War","King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
"tt0457939","The Holiday","6.9","138 mins.","Nancy Meyers","Kate Winslet;Cameron Diaz;Jude Law","Comedy;Romance","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
"tt0376994","X-Men: The Last Stand","6.8","104 mins.","Brett Ratner","Patrick Stewart;Hugh Jackman;Halle Berry","Action;Adventure;Sci-Fi;Thriller","When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto."
"tt0383574","Pirates of the Caribbean: Dead Man's Chest","7.3","151 mins.","Gore Verbinski","Johnny Depp;Orlando Bloom;Keira Knightley","Action;Adventure;Fantasy","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
"tt0463985","The Fast and the Furious: Tokyo Drift","5.8","104 mins.","Justin Lin","Lucas Black;Zachery Ty Bryan;Bow Wow","Action;Crime;Drama;Thriller","Alabama teenager Sean Boswell becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America."
"tt0348150","Superman Returns","6.2","154 mins.","Bryan Singer","Brandon Routh;Kevin Spacey;Kate Bosworth","Action;Adventure;Fantasy;Sci-Fi","After a long visit to the lost remains of the planet Krypton, the Man of Steel returns to Earth to become the people's savior once again and reclaim the love of Lois Lane."
"tt0382625","The Da Vinci Code","6.5","149 mins.","Ron Howard","Tom Hanks;Audrey Tautou;Jean Reno","Mystery;Thriller","A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of Christianity."
"tt0454945","She's the Man","6.4","105 mins.","Andy Fickman","Amanda Bynes;Laura Ramsey;Channing Tatum","Comedy;Romance","When her brother decides to ditch for a couple weeks in London, Viola heads over to his elite boarding school, disguises herself as him, and proceeds to fall for one of her soccer teammates. Little does she realize she's not the only one with romantic troubles, as she, as he, gets in the middle of a series of intermingled love affairs."
"tt0458352","The Devil Wears Prada","6.8","109 mins.","David Frankel","Anne Hathaway;Meryl Streep;Adrian Grenier","Comedy;Drama;Romance","A naive young woman comes to New York and scores a job as the assistant to one of the city's biggest magazine editors, the ruthless and cynical Miranda Priestly."
"tt0477347","Night at the Museum","6.3","108 mins.","Shawn Levy","Ben Stiller;Carla Gugino;Ricky Gervais","Action;Adventure;Comedy;Family;Fantasy","A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc."
"tt0381061","Casino Royale","7.9","144 mins.","Martin Campbell","Daniel Craig;Eva Green;Judi Dench","Action;Crime;Thriller","Armed with a license to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem."
"tt0443543","The Illusionist","7.6","110 mins.","Neil Burger","Edward Norton;Jessica Biel;Paul Giamatti","Drama;Mystery;Romance;Thriller","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
"tt0457430","Pan's Labyrinth","8.3","118 mins.","Guillermo del Toro","Ivana Baquero;Ariadna Gil;Sergi LÃ³pez","Drama;Fantasy;War","In the fascist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
"tt0317919","Mission: Impossible III","6.8","126 mins.","J.J. Abrams","Tom Cruise;Michelle Monaghan;Ving Rhames","Action;Adventure;Thriller","Ethan Hunt comes face to face with a dangerous and sadistic arms dealer while trying to keep his identity secret in order to protect his girlfriend."
"tt0317219","Cars","7.3","117 mins.","John Lasseter","Joe Ranft;Owen Wilson;Bonnie Hunt;Paul Newman","Animation;Adventure;Comedy;Family;Sport","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
"tt0405094","The Lives of Others","8.5","137 mins.","Florian Henckel von Donnersmarck","Ulrich MÃ¼he;Martina Gedeck;Sebastian Koch","Drama;Thriller","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
"tt0462590","Step Up","6.4","104 mins.","Anne Fletcher","Channing Tatum;Jenna Dewan-Tatum;Damaine Radcliff","Crime;Drama;Music;Romance","Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora."
"tt0449059","Little Miss Sunshine","7.9","101 mins.","Jonathan Dayton","Valerie Faris;Steve Carell;Toni Collette;Greg Kinnear","Adventure;Comedy;Drama","A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus."
"tt0455967","John Tucker Must Die","5.7","89 mins.","Betty Thomas","Jesse Metcalfe;Ashanti;Arielle Kebbel","Comedy;Romance","Three ex-girlfriends of a serial cheater set up their former lover to fall for the new girl in town so they can watch him get his heart broken."
"tt0449010","Eragon","5.1","104 mins.","Stefen Fangmeier","Ed Speleers;Sienna Guillory;Jeremy Irons","Action;Adventure;Family;Fantasy","In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king."
"tt0206634","Children of Men","7.9","109 mins.","Alfonso CuarÃ³n","Julianne Moore;Clive Owen;Chiwetel Ejiofor","Adventure;Drama;Sci-Fi;Thriller","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
"tt0450259","Blood Diamond","8.0","143 mins.","Edward Zwick","Leonardo DiCaprio;Djimon Hounsou;Jennifer Connelly","Adventure;Drama;Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
"tt0404203","Little Children","7.6","136 mins.","Todd Field","Kate Winslet;Jennifer Connelly;Patrick Wilson","Drama","The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations."
"tt0452594","The Break-Up","5.8","106 mins.","Peyton Reed","Jennifer Aniston;Vince Vaughn;Jon Favreau","Comedy;Drama;Romance","In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment."
"tt0460791","The Fall","7.9","117 mins.","Tarsem Singh","Lee Pace;Catinca Untaru;Justine Waddell","Adventure;Drama;Fantasy","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
"tt0454921","The Pursuit of Happyness","7.9","117 mins.","Gabriele Muccino","Will Smith;Thandie Newton;Jaden Smith","Biography;Drama","A struggling salesman takes custody of his son as he's poised to begin a life-changing professional endeavor."
"tt0472160","Penelope","6.9","104 mins.","Mark Palansky","Christina Ricci;James McAvoy;Reese Witherspoon","Comedy;Fantasy;Romance","A modern romantic tale about a young aristocratic heiress born under a curse that can only be broken when she finds true love with ""one who will love her faithfully."""
