"tt1375666","Inception","8.8","148 mins.","Christopher Nolan","Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page","Action;Adventure;Mystery;Sci-Fi;Thriller","A skilled extractor is offered a chance to regain his old life as payment for a task considered to be impossible."
"tt1323594","Despicable Me","7.7","95 mins.","Pierre Coffin","Chris Renaud;Steve Carell;Jason Segel;Russell Brand","Animation;Comedy;Crime;Family","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
"tt1250777","Kick-Ass","7.8","117 mins.","Matthew Vaughn","Aaron Taylor-Johnson;Nicolas Cage;ChloÃ« Grace Moretz","Action;Comedy","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
"tt0398286","Tangled","7.8","100 mins.","Nathan Greno","Byron Howard;Mandy Moore;Zachary Levi;Donna Murphy","Animation;Comedy;Family;Fantasy;Musical;Romance","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
"tt1591095","Insidious","6.8","103 mins.","James Wan","Patrick Wilson;Rose Byrne;Ty Simpkins","Horror;Thriller","A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further."
"tt0814255","Percy Jackson & the Olympians: The Lightning Thief","5.9","118 mins.","Chris Columbus","Logan Lerman;Kevin McKidd;Steve Coogan","Adventure;Family;Fantasy","A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods."
"tt1375670","Grown Ups","5.9","102 mins.","Dennis Dugan","Adam Sandler;Salma Hayek;Kevin James","Comedy","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
"tt0892769","How to Train Your Dragon","8.2","98 mins.","Dean DeBlois","Chris Sanders;Jay Baruchel;Gerard Butler;Christopher Mintz-Plasse","Animation;Adventure;Comedy;Drama;Family;Fantasy","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
"tt1282140","Easy A","7.1","92 mins.","Will Gluck","Emma Stone;Amanda Bynes;Penn Badgley","Comedy;Romance","A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing."
"tt0947798","Black Swan","8.1","108 mins.","Darren Aronofsky","Natalie Portman;Mila Kunis;Vincent Cassel","Drama;Mystery;Thriller","A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan."
"tt0926084","Harry Potter and the Deathly Hallows: Part 1","7.7","146 mins.","David Yates","Daniel Radcliffe;Emma Watson;Rupert Grint","Adventure;Family;Fantasy;Mystery","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows."
"tt1014759","Alice in Wonderland","6.5","108 mins.","Tim Burton","Mia Wasikowska;Johnny Depp;Helena Bonham Carter","Adventure;Family;Fantasy","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
"tt1130884","Shutter Island","8.1","138 mins.","Martin Scorsese","Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo","Drama;Mystery;Thriller","Drama set in 1954, U.S. Marshal Teddy Daniels is investigating the disappearance of a murderess who escaped from a hospital for the criminally insane and is presumed to be hiding nearby."
"tt0964517","The Fighter","7.9","116 mins.","David O. Russell","Mark Wahlberg;Christian Bale;Amy Adams","Biography;Drama;Sport","A look at the early years of boxer ""Irish"" Micky Ward and his brother who helped train him before going pro in the mid 1980s."
"tt1228705","Iron Man 2","7.1","124 mins.","Jon Favreau","Robert Downey Jr.;Mickey Rourke;Gwyneth Paltrow","Action;Adventure;Sci-Fi","Tony Stark has declared himself Iron Man and installed world peace... or so he thinks. He soon realizes that not only is there a mad man out to kill him with his own technology, but there's something more: he is dying."
"tt1245526","Red","7.0","111 mins.","Robert Schwentke","Bruce Willis;Helen Mirren;Morgan Freeman","Action;Comedy;Crime;Thriller","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants."
"tt1334260","Never Let Me Go","7.2","103 mins.","Mark Romanek","Keira Knightley;Carey Mulligan;Andrew Garfield","Drama;Romance;Sci-Fi","The story of three friends who are tragically born to lead short lives, and the love triangle that forms between them in their brief time together."
"tt1126591","Burlesque","6.3","119 mins.","Steve Antin","Cher;Christina Aguilera;Alan Cumming","Drama;Musical;Romance","A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer."
"tt1399683","Winter's Bone","7.2","100 mins.","Debra Granik","Jennifer Lawrence;John Hawkes;Garret Dillahunt","Drama","An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact."
"tt0446029","Scott Pilgrim vs. the World","7.5","112 mins.","Edgar Wright","Michael Cera;Mary Elizabeth Winstead;Kieran Culkin","Action;Comedy;Fantasy;Romance","Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart."
"tt0435761","Toy Story 3","8.5","103 mins.","Lee Unkrich","Tom Hanks;Tim Allen;Joan Cusack","Animation;Adventure;Comedy;Family;Fantasy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
"tt1504320","The King's Speech","8.1","118 mins.","Tom Hooper","Colin Firth;Geoffrey Rush;Helena Bonham Carter","Biography;Drama;History","The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it."
"tt0817230","Valentine's Day","5.7","125 mins.","Garry Marshall","Julia Roberts;Jamie Foxx;Anne Hathaway","Comedy;Romance","Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day."
"tt0938283","The Last Airbender","4.4","103 mins.","M. Night Shyamalan","Noah Ringer;Nicola Peltz;Jackson Rathbone","Action;Adventure;Family;Fantasy","The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations."
"tt0980970","The Chronicles of Narnia: The Voyage of the Dawn Treader","6.3","113 mins.","Michael Apted","Ben Barnes;Skandar Keynes;Georgie Henley","Adventure;Family;Fantasy","Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world."
"tt1285016","The Social Network","7.8","120 mins.","David Fincher","Jesse Eisenberg;Andrew Garfield;Justin Timberlake","Biography;Drama","Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the cofounder who was later squeezed out of the business."
"tt0840361","The Town","7.6","125 mins.","Ben Affleck","Ben Affleck;Rebecca Hall;Jon Hamm","Crime;Drama;Thriller","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down."
"tt1120985","Blue Valentine","7.4","112 mins.","Derek Cianfrance","Ryan Gosling;Michelle Williams;John Doman","Drama;Romance","The film centers on a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
"tt0800320","Clash of the Titans","5.8","106 mins.","Louis Leterrier","Sam Worthington;Liam Neeson;Ralph Fiennes","Action;Adventure;Fantasy","Perseus, mortal son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth."
"tt0429493","The A-Team","6.8","117 mins.","Joe Carnahan","Liam Neeson;Bradley Cooper;Sharlto Copley","Action;Adventure;Thriller","A group of Iraq War veterans looks to clear their name with the U.S. military, who suspect the four men of committing a crime for which they were framed."
"tt1104001","TRON: Legacy","6.8","125 mins.","Joseph Kosinski","Jeff Bridges;Garrett Hedlund;Olivia Wilde","Action;Adventure;Sci-Fi","The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world."
"tt1542344","127 Hours","7.7","94 mins.","Danny Boyle","James Franco;Amber Tamblyn;Kate Mara","Adventure;Biography;Drama;Thriller","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
"tt1155076","The Karate Kid","6.2","140 mins.","Harald Zwart","Jackie Chan;Jaden Smith;Taraji P. Henson","Action;Drama;Family;Sport","Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master."
"tt0758752","Love & Other Drugs","6.6","112 mins.","Edward Zwick","Jake Gyllenhaal;Anne Hathaway;Judy Greer","Comedy;Drama;Romance","A woman suffering from Parkinson's befriends a drug rep working for Pfizer against 1990s Pittsburgh backdrop."
"tt1231587","Hot Tub Time Machine","6.5","101 mins.","Steve Pink","John Cusack;Rob Corddry;Craig Robinson","Adventure;Comedy;Sci-Fi","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
"tt0955308","Robin Hood","6.7","140 mins.","Ridley Scott","Russell Crowe;Cate Blanchett;Matthew Macfadyen","Action;Adventure;Drama;History","In 13th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
"tt1228987","Let Me In","7.2","116 mins.","Matt Reeves","Kodi Smit-McPhee;ChloÃ« Grace Moretz;Richard Jenkins","Drama;Horror;Mystery","A bullied young boy befriends a young female vampire who lives in secrecy with her guardian."
"tt1023114","The Way Back","7.3","133 mins.","Peter Weir","Jim Sturgess;Ed Harris;Colin Farrell","Adventure;Drama;History","Siberian gulag escapees walk 4000 miles overland to freedom in India."
"tt0944835","Salt","6.4","100 mins.","Phillip Noyce","Angelina Jolie;Liev Schreiber;Chiwetel Ejiofor","Action;Crime;Mystery;Thriller","A CIA agent goes on the run after a defector accuses her of being a Russian spy."
"tt0892791","Shrek Forever After","6.4","93 mins.","Mike Mitchell","Mike Myers;Cameron Diaz;Eddie Murphy","Animation;Adventure;Comedy;Family;Fantasy","Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme."
"tt0963966","The Sorcerer's Apprentice","6.1","109 mins.","Jon Turteltaub","Nicolas Cage;Jay Baruchel;Alfred Molina","Action;Adventure;Comedy;Drama;Fantasy","Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana le Fey."
"tt1514041","4.3.2.1","5.9","117 mins.","Noel Clarke","Mark Davis;Emma Roberts;Tamsin Egerton;Ophelia Lovibond","Crime;Thriller","While Jo (Roberts) is chained down in a dead end supermarket job, her friends are all out on their own..."
"tt1386588","The Other Guys","6.6","107 mins.","Adam McKay","Will Ferrell;Mark Wahlberg;Derek Jeter","Action;Comedy;Crime","Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize -- only things don't quite go as planned."
"tt0985694","Machete","6.8","105 mins.","Ethan Maniquis","Robert Rodriguez;Danny Trejo;Michelle Rodriguez;Robert De Niro","Action;Crime;Thriller","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
"tt1226229","Get Him to the Greek","6.4","109 mins.","Nicholas Stoller","Jonah Hill;Russell Brand;Elisabeth Moss","Comedy;Music","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater."
"tt1320253","The Expendables","6.5","103 mins.","Sylvester Stallone","Sylvester Stallone;Jason Statham;Jet Li","Action;Adventure;Thriller","A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent."
"tt1403865","True Grit","7.7","110 mins.","Ethan Coen","Joel Coen;Jeff Bridges;Matt Damon;Hailee Steinfeld","Adventure;Drama;Western","A tough U.S. Marshal helps a stubborn young woman track down her father's murderer."
"tt1001526","Megamind","7.3","95 mins.","Tom McGrath","Will Ferrell;Jonah Hill;Brad Pitt","Animation;Action;Comedy;Family;Sci-Fi","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life."
