"tt0993846","The Wolf of Wall Street","8.7","180 mins.","Martin Scorsese","Leonardo DiCaprio;Jonah Hill;Margot Robbie","Biography;Comedy;Crime;Drama","Based on the true story of Jordan Belfort, from his rise to a wealthy stockbroker living the high life to his fall involving crime, corruption and the federal government."
"tt1800241","American Hustle","7.9","138 mins.","David O. Russell","Christian Bale;Amy Adams;Bradley Cooper","Crime;Drama","A con man, Irving Rosenfeld, along with his seductive British partner, Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso. DiMaso pushes them into a world of Jersey powerbrokers and mafia."
"tt1170358","The Hobbit: The Desolation of Smaug","8.2","161 mins.","Peter Jackson","Ian McKellen;Martin Freeman;Richard Armitage","Adventure;Fantasy","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
"tt2294629","Frozen","8.1","102 mins.","Chris Buck","Jennifer Lee;Kristen Bell;Josh Gad;Idina Menzel","Animation;Adventure;Comedy;Family;Fantasy;Musical","Fearless optimist Anna teams up with Kristoff in an epic journey, encountering Everest-like conditions, and a hilarious snowman named Olaf in a race to find Anna's sister Elsa, whose icy powers have trapped the kingdom in eternal winter."
"tt1951264","The Hunger Games: Catching Fire","8.2","146 mins.","Francis Lawrence","Jennifer Lawrence;Josh Hutcherson;Liam Hemsworth","Action;Adventure;Sci-Fi;Thriller","Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem."
"tt0359950","The Secret Life of Walter Mitty","7.7","114 mins.","Ben Stiller","Ben Stiller;Kristen Wiig;Jon Daly","Adventure;Comedy;Drama;Fantasy","A day-dreamer escapes his anonymous life by disappearing into a world of fantasies filled with heroism, romance and action. When his job along with that of his co-worker are threatened, he takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined."
"tt1091191","Lone Survivor","7.6","121 mins.","Peter Berg","Mark Wahlberg;Taylor Kitsch;Emile Hirsch","Action;Biography;Drama;Thriller;War","Based on the failed June 28, 2005 mission ""Operation Red Wings"". Four members of SEAL Team 10 were tasked with the mission to capture or kill notorious Taliban leader Ahmad Shahd."
"tt1335975","47 Ronin","6.7","118 mins.","Carl Rinsch","Keanu Reeves;Hiroyuki Sanada;Ko Shibasaki","Action;Adventure;Fantasy","A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun."
"tt1229340","Anchorman 2: The Legend Continues","7.1","119 mins.","Adam McKay","Will Ferrell;Christina Applegate;Paul Rudd","Comedy","With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm."
"tt1979320","Rush","8.3","123 mins.","Ron Howard","Daniel BrÃ¼hl;Chris Hemsworth;Olivia Wilde","Action;Biography;Drama;Sport","A re-creation of the merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda."
"tt2140373","Saving Mr. Banks","7.8","125 mins.","John Lee Hancock","Emma Thompson;Tom Hanks;Annie Rose Buckley","Biography;Comedy;Drama;Family;History;Music","Author P. L. Travers reflects on her difficult childhood while meeting with filmmaker Walt Disney during production for the adaptation of her novel, Mary Poppins."
