"Ono sve sto znas o meni","8.9","Bobo Jelcic"
"The Lord of the Rings: The Return of the King","8.9","Peter Jackson"
"Love is God","8.8","Sundar C."
"Movie Boy","8.7","Jon Lefkovitz"
"Pink Floyd Video Anthology","8.7","David Elfick"
"Black Friday","8.5","Anurag Kashyap"
"The Right Way","8.5","Mark Penney"
"The Lizard","8.5","Kamal Tabrizi"
"The Best of Youth","8.5","Marco Tullio Giordana"
"Repetition","8.4","Dennis Burkley"
"Fellowship","8.4","Lucas Elliot Eberl"
"Absolution Tour","8.4","Tom Kirk"
"I Love You","8.4","Hara Patnaik"
"Bloom","8.4","Julio D. De Los Santos"
"The Mirror","8.4","Phil Allocco"
"Milk Can","8.4","Matt Kresling"
"Eternal Sunshine of the Spotless Mind","8.4","Michel Gondry"
"Swades","8.4","Ashutosh Gowariker"
"Still Single","8.4","Cookie Carosella"
"Sanhedrin","8.4","Simon Brasse"
"Würstelstand","8.4","Nicolas Neuhold"
"No Biggie","8.4","Mladen Dizdar"
"Broken Echoes","8.4","Kirk Sanders"
"In Justice","8.4","Alexander Ballas"
"Oldboy","8.4","Chan-wook Park"
"Munnabhai M.B.B.S.","8.4","Rajkumar Hirani"
"Pithamagan","8.4","Bala"
"Raktha Kanneeru","8.4","Sadhu Kokila"
"Anatomy of a Fight","8.4","Nicholas Woythaler"
"Do Not Make Biscuits in a Bad Mood","8.4","Grigori G. Nikulin"
"A Joyce Story","8.4","Pete Guzzo"
"Down Into Happiness","8.4","Astrid Fingerhut"
"The Treasure of Thomas Beale","8.4","Morgan Faust"
"Who Is Don Berdi?","8.4","John Rose"
"Batman Begins","8.3","Christopher Nolan"
"The Secret in the Attic","8.3","Minoru Inao"
"Wolf Girl","8.3","Yoshihiro Fukagawa"
"Kyun Tumse Itna Pyar Hai","8.3","Ajab Gul"
"Dreaming on Christmas","8.3","Spencer Jay Kim"
"Writer's Day","8.3","Anthony Verge"
"Central Booking","8.3","Alex Ranarivelo"
"The Crooked Corner","8.3","James Savoca"
"Paskutiniai Bremeno muzikantai","8.3","Vaidas Lekavicius"
"Tears of a Clown","8.3","Tony Spires"
"Bazi","8.3","Gholam Reza Ramezani"
"The Peace Tree","8.3","Mitra Sen"
"Fly on the Wall","8.3","Adryenn Ashley"
"Sa North Diversion Road","8.3","Dennis Marasigan"
"Al Abaa' al Sighar","8.3","Dorid Laham"
"Thoi xa vang","8.3","Quang Minh HÃ´"
"September 12th","8.3","John Touhey"
"Addio notte bianca","8.3","Luca Guardabascio"
"Downfall","8.3","Oliver Hirschbiegel"
"Olympiad 448 BC: Olympiad of Ancient Hellas","8.3","Paul Pissanos"
"Charlie the Ox","8.3","Scott Smith"
"Three Barbecues: A Blackened Comedy","8.3","Rob Gray"
"Haseena","8.3","Girish Kasaravalli"
"The Stay","8.3","Jose Enrique March"
"The Quiet Storm","8.3","Shango Bsang"
"Baby Fat","8.3","James Tucker"
"What I Want","8.3","Andy Blood"
"Gachapon","8.3","Eiji Uchida"
"À San Remo","8.3","Julien Donada"
"The Ballad of PonyBoy","8.3","Jeff McCarty"
"I Love You Anne","8.3","Richard Senecal"
"Letters from the Dead","8.3","Ari Taub"
"Unsung Heroes","8.3","Brett Simmons"
"Making Revolution","8.3","Daniel Klein"
"The Last American","8.3","Audie Harrison"
"The Real Old Testament","8.3","Curtis Hannum"
"Edge of Nowhere","8.3","Philip McKeon"
"Variaciones 1/113","8.3","Javier Aguirre"
"The Pride of Broken Arrow","8.3","Matt Maddox"
"The World's Greatest Monster","8.3","Goran Rusinovic"
"Mahalla","8.3","Ramiz Fataliyev"
"Boys in the Sky","8.3","Zulfikar Musakov"
"Die Dreaming","8.3","Caio Ribeiro"
"Ask Curtis","8.3","Rob Lewbel"
"Sledvay me","8.3","Docho Bodzhakov"
"Behind the Scenes: Escape from Cuba","8.3","Tom Logan"
"Swaathi Mutthu","8.3","D. Rajendra Babu"
"Between Land and Sky","8.3","Giuseppe Ferlito"
"Feel Neil","8.3","David A. Sarich"
"Sin City","8.2","Frank Miller"
"V for Vendetta","8.2","James McTeigue"
"Black","8.2","Sanjay Leela Bhansali"
"Iqbal","8.2","Nagesh Kukunoor"
"Planet Ibsen","8.2","Jonathan Wyche"
"Burning Darkness","8.2","Ryan Spring"
"Dollars and White Pipes","8.2","Donovan Marsh"
"Dogg's Hamlet, Cahoot's Macbeth","8.2","Joey Zimmerman"
"All In","8.2","Reggie Jordan"
"Come Fly with Me Nude","8.2","Diane Karagienakos"
"The Guardian Spirit of the House","8.2","Sumitra Bhave"
"For the Title","8.2","Josh Long"
"Believers Among Us","8.2","Ralph E. Portillo"
"Girls Never Call","8.2","Nacho Manubens"
"Divorce: Not Between Husband and Wife","8.2","M.J. Ramanan"
"Yakuza Wives: Burning Desire","8.2","Hajime Hashimoto"
"Raul - Diritto di uccidere","8.2","Andrea Bolognini"
"Heads N TailZ","8.2","Stephen David Brooks"
