"The Wolf of Wall Street","8.7","2","golden","2013","Martin Scorsese","USA"
"The Intouchables","8.6","1","golden","2011","Olivier Nakache, Eric Toledano","France"
"Her","8.6","3","golden","2013","Spike Jonze","USA"
"12 Years a Slave","8.6","7","golden","2013","Steve McQueen","USA, UK"
"Gravity","8.3","4","golden","2013","Alfonso Cuarón","USA"
"The Hunt","8.3","1","golden","2012","Thomas Vinterberg","Denmark, Sweden"
"Kill Bill: Vol. 1","8.2","1","golden","2003","Quentin Tarantino","USA"
"Gran Torino","8.2","1","golden","2008","Clint Eastwood","USA, Germany"
"Frozen","8.1","2","golden","2013","Chris Buck, Jennifer Lee","USA"
"The Hunger Games: Catching Fire","8.1","1","golden","2013","Francis Lawrence","USA"
"Blue Is the Warmest Color","8.1","1","golden","2013","Abdellatif Kechiche","France, Belgium, Spain"
"Dallas Buyers Club","8.1","2","golden","2013","Jean-Marc Vallée","USA"
"Nebraska","8.1","5","golden","2013","Alexander Payne","USA"
"Before Midnight","8.1","1","golden","2013","Richard Linklater","USA"
"The Wind Rises","8.1","1","golden","2013","Hayao Miyazaki","Japan"
"The Past","8.1","1","golden","2013","Asghar Farhadi","France, Italy"
"Kill Bill: Vol. 2","8.0","2","golden","2004","Quentin Tarantino","USA"
"4 Months, 3 Weeks and 2 Days","7.9","1","golden","2007","Cristian Mungiu","Romania, Belgium"
"American Hustle","7.9","7","golden","2013","David O. Russell","USA"
"Philomena","7.9","3","golden","2013","Stephen Frears","UK, USA, France"
"The Hangover","7.8","1","golden","2009","Todd Phillips","USA, Germany"
"(500) Days of Summer","7.8","2","golden","2009","Marc Webb","USA"
"50/50","7.8","2","golden","2011","Jonathan Levine","USA"
"Kung Fu Hustle","7.7","1","golden","2004","Stephen Chow","Hong Kong, China"
"Blue Jasmine","7.7","2","golden","2013","Woody Allen","USA"
"The Great Beauty","7.7","1","golden","2013","Paolo Sorrentino","Italy, France"
"Love Actually","7.7","2","golden","2003","Richard Curtis","UK, USA, France"
"Good Bye Lenin!","7.7","1","golden","2003","Wolfgang Becker","Germany"
