"The Dark Knight","9.0","2","oscar","2008","Christopher Nolan","USA, UK"
"The Lord of the Rings: The Return of the King","8.9","11","oscar","2003","Peter Jackson","USA, New Zealand"
"Inception","8.8","4","oscar","2010","Christopher Nolan","USA, UK"
"Toy Story 3","8.5","2","oscar","2010","Lee Unkrich","USA"
"Django Unchained","8.5","2","oscar","2012","Quentin Tarantino","USA"
"The Departed","8.5","4","oscar","2006","Martin Scorsese","USA, Hong Kong"
"The Prestige","8.5","2","oscar","2006","Christopher Nolan","USA, UK"
"The Lives of Others","8.5","1","oscar","2006","Florian Henckel von Donnersmarck","Germany"
"WALL路E","8.5","1","oscar","2008","Andrew Stanton","USA"
"Eternal Sunshine of the Spotless Mind","8.4","1","oscar","2004","Michel Gondry","USA"
"A Separation","8.4","1","oscar","2011","Asghar Farhadi","Iran"
"Inglourious Basterds","8.3","1","oscar","2009","Quentin Tarantino, Eli Roth","USA, Germany"
"Up","8.3","2","oscar","2009","Pete Docter, Bob Peterson","USA"
"Howl's Moving Castle","8.2","1","oscar","2004","Hayao Miyazaki","Japan"
"Hotel Rwanda","8.2","3","oscar","2004","Terry George","UK, USA, Italy, South Africa"
"The Secret in Their Eyes","8.2","1","oscar","2009","Juan José Campanella","Argentina, Spain"
"Incendies","8.2","1","oscar","2010","Denis Villeneuve","Canada, France"
"Warrior","8.2","1","oscar","2011","Gavin O'Connor","USA"
"Into the Wild","8.2","2","oscar","2007","Sean Penn","USA"
"The Avengers","8.2","1","oscar","2012","Joss Whedon","USA"
"Million Dollar Baby","8.1","4","oscar","2004","Clint Eastwood","USA"
"The King's Speech","8.1","4","oscar","2010","Tom Hooper","UK, USA, Australia"
"Harry Potter and the Deathly Hallows: Part 2","8.1","3","oscar","2011","David Yates","USA, UK"
"No Country for Old Men","8.1","4","oscar","2007","Ethan Coen, Joel Coen","USA"
"There Will Be Blood","8.1","2","oscar","2007","Paul Thomas Anderson","USA"
"The Bourne Ultimatum","8.1","3","oscar","2007","Paul Greengrass","USA, Germany"
"The Diving Bell and the Butterfly","8.1","4","oscar","2007","Julian Schnabel","France, USA"
"The Hobbit: An Unexpected Journey","8.1","3","oscar","2012","Peter Jackson","USA, New Zealand"
"Life of Pi","8.1","4","oscar","2012","Ang Lee","USA, Taiwan, UK"
"Finding Nemo","8.1","1","oscar","2003","Andrew Stanton, Lee Unkrich","USA"
"Slumdog Millionaire","8.1","8","oscar","2008","Danny Boyle, Loveleen Tandan","UK"
"Departures","8.1","1","oscar","2008","Y么jir么 Takita","Japan"
"The Incredibles","8.0","2","oscar","2004","Brad Bird","USA"
"Before Sunset","8.0","1","oscar","2004","Richard Linklater","USA"
"Star Trek","8.0","1","oscar","2009","J.J. Abrams","USA, Germany"
"District 9","8.0","4","oscar","2009","Neill Blomkamp","USA, New Zealand, Canada, South Africa"
"Black Swan","8.0","1","oscar","2010","Darren Aronofsky","USA"
"The Help","8.0","1","oscar","2011","Tate Taylor","USA, India, United Arab Emirates"
"The Artist","8.0","5","oscar","2011","Michel Hazanavicius","France, Belgium, USA"
"Ratatouille","8.0","1","oscar","2007","Brad Bird, Jan Pinkava","USA"
"Persepolis","8.0","1","oscar","2007","Vincent Paronnaud, Marjane Satrapi","France, USA"
"Blood Diamond","8.0","5","oscar","2006","Edward Zwick","USA, Germany"
"Pirates of the Caribbean: The Curse of the Black Pearl","8.0","5","oscar","2003","Gore Verbinski","USA"
"Big Fish","8.0","1","oscar","2003","Tim Burton","USA"
"Mystic River","8.0","2","oscar","2003","Clint Eastwood","USA, Australia"
"Crash","7.9","3","oscar","2004","Paul Haggis","USA, Germany"
"The Chorus","7.9","2","oscar","2004","Christophe Barratier","France, Switzerland, Germany"
"Avatar","7.9","3","oscar","2009","James Cameron","USA, UK"
"A Prophet","7.9","1","oscar","2009","Jacques Audiard","France, Italy"
"The Fighter","7.9","2","oscar","2010","David O. Russell","USA"
"Drive","7.9","1","oscar","2011","Nicolas Winding Refn","USA"
"The Girl with the Dragon Tattoo","7.9","1","oscar","2011","David Fincher","USA, Sweden, Norway"
"Silver Linings Playbook","7.9","1","oscar","2012","David O. Russell","USA"
"Walk the Line","7.9","1","oscar","2005","James Mangold","USA, Germany"
"Cinderella Man","7.9","3","oscar","2005","Ron Howard","USA"
"Little Miss Sunshine","7.9","2","oscar","2006","Jonathan Dayton, Valerie Faris","USA"
"Children of Men","7.9","3","oscar","2006","Alfonso Cuar贸n","USA, UK"
"Once","7.9","1","oscar","2006","John Carney","Ireland"
"Iron Man","7.9","2","oscar","2008","Jon Favreau","USA"
"The Wrestler","7.9","2","oscar","2008","Darren Aronofsky","USA, France"
"Finding Neverland","7.8","1","oscar","2004","Marc Forster","USA, UK"
"The Motorcycle Diaries","7.8","1","oscar","2004","Walter Salles","Argentina, USA, Chile, Peru, Brazil, UK, Germany, France"
"Yesterday","7.8","1","oscar","2004","Darrell Roodt","South Africa"
"Fantastic Mr. Fox","7.8","2","oscar","2009","Wes Anderson","USA"
"Tangled","7.8","1","oscar","2010","Nathan Greno, Byron Howard","USA"
"The Social Network","7.8","3","oscar","2010","David Fincher","USA"
"Atonement","7.8","1","oscar","2007","Joe Wright","UK, France, USA"
"American Gangster","7.8","2","oscar","2007","Ridley Scott","USA"
"3:10 to Yuma","7.8","2","oscar","2007","James Mangold","USA"
"Skyfall","7.8","2","oscar","2012","Sam Mendes","UK, USA"
"Wreck-It Ralph","7.8","1","oscar","2012","Rich Moore","USA"
"Moonrise Kingdom","7.8","1","oscar","2012","Wes Anderson","USA"
"The Pursuit of Happyness","7.8","1","oscar","2006","Gabriele Muccino","USA"
"Apocalypto","7.8","3","oscar","2006","Mel Gibson","USA"
"Lost in Translation","7.8","1","oscar","2003","Sofia Coppola","USA, Japan"
"Evil","7.8","1","oscar","2003","Mikael Håfström","Sweden, Denmark"
"The Triplets of Belleville","7.8","2","oscar","2003","Sylvain Chomet","France, Belgium, Canada, UK, Latvia"
"The Curious Case of Benjamin Button","7.8","3","oscar","2008","David Fincher","USA"
"Changeling","7.8","3","oscar","2008","Clint Eastwood","USA"
"Harry Potter and the Prisoner of Azkaban","7.7","2","oscar","2004","Alfonso Cuar贸n","UK, USA"
"Ray","7.7","2","oscar","2004","Taylor Hackford","USA"
"A Very Long Engagement","7.7","2","oscar","2004","Jean-Pierre Jeunet","France, USA"
"Coraline","7.7","1","oscar","2009","Henry Selick","USA"
"True Grit","7.7","10","oscar","2010","Ethan Coen, Joel Coen","USA"
"Midnight in Paris","7.7","1","oscar","2011","Woody Allen","Spain, USA"
"Gone Baby Gone","7.7","1","oscar","2007","Ben Affleck","USA"
"Eastern Promises","7.7","1","oscar","2007","David Cronenberg","USA, UK, Canada"
"12","7.7","1","oscar","2007","Nikita Mikhalkov","Russia"
"NA","7.7","3","oscar","2012","Tom Hooper","USA, UK"
"Star Wars: Episode III - Revenge of the Sith","7.7","1","oscar","2005","George Lucas","USA"
"Pride & Prejudice","7.7","4","oscar","2005","Joe Wright","France, UK, USA"
"Brokeback Mountain","7.7","3","oscar","2005","Ang Lee","USA, Canada"
"Match Point","7.7","1","oscar","2005","Woody Allen","UK, Luxembourg"
"Water","7.7","1","oscar","2005","Deepa Mehta","Canada, India"
"Sophie Scholl: The Final Days","7.7","1","oscar","2005","Marc Rothemund","Germany"
"The Last King of Scotland","7.7","1","oscar","2006","Kevin Macdonald","UK, Germany, USA"
"The Last Samurai","7.7","4","oscar","2003","Edward Zwick","USA"
"Zelary","7.7","1","oscar","2003","Ondrej Trojan","Czech Republic, Slovakia, Austria"
"Frost/Nixon","7.7","5","oscar","2008","Ron Howard","USA, UK, France"
"Collateral","7.6","2","oscar","2004","Michael Mann","USA"
"Sideways","7.6","1","oscar","2004","Alexander Payne","USA"
"Sherlock Holmes","7.6","2","oscar","2009","Guy Ritchie","USA, Germany"
"The Blind Side","7.6","1","oscar","2009","John Lee Hancock","USA"
"Harry Potter and the Deathly Hallows: Part 1","7.6","2","oscar","2010","David Yates","UK, USA"
"The Town","7.6","1","oscar","2010","Ben Affleck","USA"
"Moneyball","7.6","6","oscar","2011","Bennett Miller","USA"
"Juno","7.6","1","oscar","2007","Jason Reitman","USA"
"La Vie en Rose","7.6","2","oscar","2007","Olivier Dahan","France, UK, Czech Republic"
"The Kite Runner","7.6","1","oscar","2007","Marc Forster","USA, China"
"The Counterfeiters","7.6","1","oscar","2007","Stefan Ruzowitzky","Austria, Germany"
"The Impossible","7.6","1","oscar","2012","J.A. Bayona","Spain"
"A Royal Affair","7.6","1","oscar","2012","Nikolaj Arcel","Denmark, Sweden, Czech Republic"
