"Enrique Murillo","5"
"Wai-keung Lau","4"
"Takashi Miike","4"
"Jose Javier Reyes","4"
"Johnnie To","4"
"Joel Lamangan","4"
"Joe Ma","4"
"James Fotopoulos","4"
"Francis Posadas","4"
"Tony Y. Reyes","3"
"Sudhir Mishra","3"
"Sakae Nitta","3"
"Robbie Moffat","3"
"Raoul Ruiz","3"
"Priyadarshan","3"
"Noriaki Noguchi","3"
"Mark L. Lester","3"
"Mac Alejandre","3"
"Lloyd A. Simandl","3"
"Ka-Fai Wai","3"
"Jing Wong","3"
"Anant Balani","3"
"Zeki Alasya","2"
"Zalman King","2"
"Yôjirô Takita","2"
"Yuthlert Sippapak","2"
"Yukihiko Tsutsumi","2"
"Yuan Zhang","2"
"Wai-Man Cheng","2"
"Wai Ying Yip","2"
"Wai Man Yip","2"
"Vincent Kok","2"
"Vinayan","2"
"Vinayak V.V.","2"
"Vikraman","2"
"Vikram Bhatt","2"
"V.K. Prakash","2"
"Tommy Wiseau","2"
"Tom Logan","2"
"Tetsuo Shinohara","2"
"Tamás Sas","2"
"Suresh Krishna","2"
"Sundar C.","2"
"Sonia Valentín","2"
"Shigeo Moriyama","2"
"Shawn Levy","2"
"Sangeeth Sivan","2"
"S.V. Krishna Reddy","2"
"Ry没hei Kitamura","2"
"Robert Rodriguez","2"
"Robert B. Abihay","2"
"Rituparno Ghosh","2"
"Ringo Lam","2"
"Raúl Marchand Sánchez","2"
"Raymond To","2"
"Ramanarayanan","2"
"Raman Kumar","2"
"Pyotr Todorovskiy","2"
"Puri Jagannadh","2"
"Peter Greenaway","2"
"Pepe Maldonado","2"
"Penny Woolcock","2"
"Paulo Morelli","2"
"Paolo Modugno","2"
"Olaf Ittenbach","2"
"Nobuhiro Yamashita","2"
"Nagesh Kukunoor","2"
"N. Chandra","2"
"Muhammad al-Najjar","2"
"Moacyr G贸es","2"
"Mike Goodreau","2"
"Michael Keller","2"
"Marcel Sisniega","2"
"Lana Wachowski","2"
"Ky么ko Aizome","2"
"Kiyoshi Kurosawa","2"
"Kinya Ogawa","2"
"Kamal Tabrizi","2"
"Kamal","2"
"K.S. Sivachandran","2"
"Juan Bautista Stagnaro","2"
"Joyce Bernal","2"
"Joven Tan","2"
"Josh Crook","2"
"Jose N. Carreon","2"
"Jonathon Ash","2"
"Jonathan Appel","2"
"John Carl Buechler","2"
"Jeff Crook","2"
"Ingo Heise","2"
"Hing-Ka Chan","2"
"Himanshu Parija","2"
"Hari","2"
"Gérard Krawczyk","2"
"Guy Maddin","2"
"Guddu Dhanoa","2"
"Gordon Chan","2"
"Giuseppe Ferlito","2"
"G. Nageswara Reddy","2"
"F. Gary Gray","2"
